state_name,state_fips,technology,file_id,file_name,download_link
Iowa,19,Copper,1582361,bdc_19_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582361/1
Kansas,20,Copper,1582362,bdc_20_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582362/1
Kentucky,21,Copper,1582363,bdc_21_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582363/1
Louisiana,22,Copper,1582364,bdc_22_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582364/1
Maine,23,Copper,1582365,bdc_23_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582365/1
Maryland,24,Copper,1582366,bdc_24_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582366/1
Massachusetts,25,Copper,1582367,bdc_25_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582367/1
Michigan,26,Copper,1582368,bdc_26_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582368/1
Minnesota,27,Copper,1582369,bdc_27_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582369/1
Mississippi,28,Copper,1582370,bdc_28_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582370/1
Missouri,29,Copper,1582371,bdc_29_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582371/1
Montana,30,Copper,1582372,bdc_30_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582372/1
Nebraska,31,Copper,1582373,bdc_31_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582373/1
